Series ID,Year,Period,Label,Value
CUSR0000SS30021,2023,M04,2023 Apr,118.606
CUSR0000SS30021,2023,M05,2023 May,116.224
CUSR0000SS30021,2023,M06,2023 Jun,112.317
CUSR0000SS30021,2023,M07,2023 Jul,111.143
CUSR0000SS30021,2023,M08,2023 Aug,111.145
CUSR0000SS30021,2023,M09,2023 Sep,108.677
CUSR0000SS30021,2023,M10,2023 Oct,103.227
CUSR0000SS30021,2023,M11,2023 Nov,99.264
CUSR0000SS30021,2023,M12,2023 Dec,101.376
CUSR0000SS30021,2024,M01,2024 Jan,104.462
CUSR0000SS30021,2024,M02,2024 Feb,102.364
CUSR0000SS30021,2024,M03,2024 Mar,101.154
CUSR0000SS30021,2024,M04,2024 Apr,104.844
CUSR0000SS30021,2024,M05,2024 May,105.962
CUSR0000SS30021,2024,M06,2024 Jun,105.476
CUSR0000SS30021,2024,M07,2024 Jul,105.022
CUSR0000SS30021,2024,M08,2024 Aug,107.726
CUSR0000SS30021,2024,M09,2024 Sep,107.694
CUSR0000SS30021,2024,M10,2024 Oct,107.760
CUSR0000SS30021,2024,M11,2024 Nov,105.874
CUSR0000SS30021,2024,M12,2024 Dec,103.929
CUSR0000SS30021,2025,M01,2025 Jan,105.580
CUSR0000SS30021,2025,M02,2025 Feb,109.072
CUSR0000SS30021,2025,M03,2025 Mar,109.935
